Prompt ID,Category,Subcategory,Use Case,Prompt Title,Prompt,Variables,Compatible AI,Difficulty,Expected Output,Pro Tip
PRM-BS-011,Business & Strategy,Scenario Planning,Best/Base/Worst Case Modeling,Three-Scenario Strategic Plan,"Act as a strategic planner. Build best-case, base-case, and worst-case scenarios for [BUSINESS_NAME] over the next [TIME_HORIZON], given the current situation: [CURRENT_SITUATION].
For each scenario, define the triggering conditions, expected impact on revenue/headcount/cash, and the top 2 actions leadership should take if that scenario starts to materialize.
Output as a 3-column comparison table plus early-warning indicators to watch for each scenario.","BUSINESS_NAME, TIME_HORIZON, CURRENT_SITUATION",ChatGPT / Claude,Advanced,"A 3-scenario comparison table with triggers, impacts, response actions, and early-warning indicators.",Revisit this quarterly and update which scenario you're trending toward — it loses value if left static.
PRM-BS-012,Business & Strategy,Goal Setting,Company OKR Drafting,Quarterly OKR Builder,"Act as an OKR coach. Draft quarterly OKRs for [TEAM_OR_COMPANY_NAME] given the top priority: [TOP_PRIORITY] and current baseline metrics: [BASELINE_METRICS].
Produce 2-3 Objectives, each with 3-4 measurable Key Results (not tasks — outcomes with numbers).
Stress-test each KR: is it measurable, is it outcome-based (not activity-based), and is it realistically achievable this quarter? Flag any KR that fails this test and rewrite it.","TEAM_OR_COMPANY_NAME, TOP_PRIORITY, BASELINE_METRICS",ChatGPT / Claude,Intermediate,"2-3 Objectives with measurable, outcome-based Key Results, each stress-tested for quality.",Reject any KR the model writes that starts with a verb like 'improve' or 'launch' without a number attached.
PRM-BS-013,Business & Strategy,Business Planning,Executive Summary Writer,One-Page Business Plan Executive Summary,"Act as a business plan writer for investors. Write a one-page executive summary for [BUSINESS_NAME], which does [BUSINESS_DESCRIPTION] for [TARGET_CUSTOMER].
Key facts: traction so far [TRACTION_METRICS], funding ask [FUNDING_ASK], and use of funds [USE_OF_FUNDS].
Cover: problem, solution, market size, traction, business model, team credibility, and the ask — in that order, under 400 words total.
Write in confident, concrete language with no filler adjectives.","BUSINESS_NAME, BUSINESS_DESCRIPTION, TARGET_CUSTOMER, TRACTION_METRICS, FUNDING_ASK, USE_OF_FUNDS",ChatGPT / Claude,Intermediate,"A tight, investor-ready one-page executive summary under 400 words.",Give real numbers wherever possible — investors discount summaries that lean on adjectives instead of data.
PRM-BS-014,Business & Strategy,Cost Management,Cost Reduction Opportunity Scan,Cost Reduction Opportunity Finder,"Act as an operations cost consultant. Review this cost breakdown for [BUSINESS_NAME]: [COST_BREAKDOWN, e.g. list of expense categories and amounts].
Identify the top 5 cost reduction opportunities, ranked by estimated savings and implementation difficulty (Low/Medium/High).
For each, note the specific action to take and any risk of cutting it (e.g. customer experience impact).
Output as a ranked table: Cost Area, Estimated Savings, Difficulty, Action, Risk.","BUSINESS_NAME, COST_BREAKDOWN",ChatGPT / Claude,Intermediate,"A ranked table of cost-cutting opportunities with savings estimates, difficulty, and risk notes.","Paste your actual P&L expense lines for far more specific, actionable output than category guesses."
PRM-BS-015,Business & Strategy,Financial Analysis,Break-Even Analysis Walkthrough,Break-Even Point Calculator & Interpreter,"Act as a financial analyst. Given fixed costs of [FIXED_COSTS], variable cost per unit of [VARIABLE_COST_PER_UNIT], and price per unit of [PRICE_PER_UNIT] for [PRODUCT_NAME], calculate the break-even point in units and revenue.
Show the calculation step by step, then explain in plain language what it means for the business (e.g. how many units/month are needed, sensitivity if price drops 10%).
Output: the calculation, a one-paragraph plain-English interpretation, and one what-if scenario at -10% price.","FIXED_COSTS, VARIABLE_COST_PER_UNIT, PRICE_PER_UNIT, PRODUCT_NAME",ChatGPT / Claude,Beginner,A step-by-step break-even calculation with a plain-English interpretation and a price-sensitivity what-if.,"Double check the math yourself for high-stakes decisions — treat this as a fast first pass, not final accounting."
PRM-BS-016,Business & Strategy,Market Research,TAM/SAM/SOM Sizing,Market Sizing Estimator,"Act as a market sizing analyst. Estimate TAM, SAM, and SOM for [PRODUCT_OR_SERVICE] targeting [TARGET_CUSTOMER_SEGMENT] in [GEOGRAPHY].
Use a stated, transparent methodology (top-down and bottom-up if possible) and show your assumptions explicitly rather than presenting numbers as fact.
Output: TAM/SAM/SOM figures, the assumptions behind each, and a 1-2 sentence caveat on estimate confidence.","PRODUCT_OR_SERVICE, TARGET_CUSTOMER_SEGMENT, GEOGRAPHY",ChatGPT / Claude,Advanced,Transparent TAM/SAM/SOM estimates with explicit assumptions and a confidence caveat.,"Treat the output as a reasoning framework, not verified market data — validate key assumptions with real sources."
PRM-BS-017,Business & Strategy,Value Proposition,Value Proposition Design,Value Proposition Statement Builder,"Act as a positioning strategist using the Value Proposition Canvas method. For [PRODUCT_NAME] targeting [TARGET_CUSTOMER], list their top jobs-to-be-done, pains, and gains: [CUSTOMER_INSIGHTS].
Map each to a specific product feature or benefit that addresses it, then write 3 candidate one-sentence value proposition statements.
Rate each statement on clarity, differentiation, and believability (1-5), and recommend the strongest one.","PRODUCT_NAME, TARGET_CUSTOMER, CUSTOMER_INSIGHTS",ChatGPT / Claude,Intermediate,"A jobs/pains/gains map, 3 candidate value prop statements scored, and a final recommendation.",The quality of this prompt lives or dies on how specific your CUSTOMER_INSIGHTS input is — use real quotes if you have them.
PRM-BS-018,Business & Strategy,Strategic Planning,12-Month Strategic Roadmap,Annual Strategic Roadmap Builder,"Act as a strategy director. Build a 12-month strategic roadmap for [COMPANY_NAME] to achieve the top-level goal: [ANNUAL_GOAL].
Break it into 4 quarters, each with a theme, 2-3 major initiatives, and the key metric that proves progress.
Flag dependencies between quarters (what must happen in Q1 for Q3 to be possible) and the single biggest execution risk to the whole roadmap.","COMPANY_NAME, ANNUAL_GOAL",ChatGPT / Claude,Advanced,"A 4-quarter roadmap with themes, initiatives, metrics, cross-quarter dependencies, and top execution risk.",Use this as a living document — feed actual quarterly results back in each quarter to keep it grounded.
PRM-BS-019,Business & Strategy,Risk Management,Enterprise Risk Register,Business Risk Register Builder,"Act as an enterprise risk manager. Build a risk register for [BUSINESS_NAME] covering [BUSINESS_AREA, e.g. operations, finance, supply chain].
Known concerns: [KNOWN_CONCERNS].
For each identified risk, assign likelihood (1-5), impact (1-5), a risk score, a mitigation action, and an owner role (not a named person).
Output as a table sorted by risk score, highest first, with the top 3 risks flagged for immediate attention.","BUSINESS_NAME, BUSINESS_AREA, KNOWN_CONCERNS",ChatGPT / Claude,Advanced,"A risk register table sorted by score, with the top 3 risks flagged for immediate action.",Revisit and re-score this register quarterly — risk registers go stale fast if treated as one-time documents.
PRM-BS-020,Business & Strategy,Stakeholder Management,Stakeholder Influence Mapping,Stakeholder Map & Engagement Plan,"Act as a stakeholder management advisor. Map the key stakeholders for [INITIATIVE_NAME] at [ORGANIZATION_NAME]: [STAKEHOLDER_LIST].
Plot each on a power/interest grid (High/Low power x High/Low interest) and recommend an engagement approach for each quadrant (e.g. manage closely, keep satisfied, keep informed, monitor).
Output: the grid placement for each stakeholder plus one specific engagement action per stakeholder.","INITIATIVE_NAME, ORGANIZATION_NAME, STAKEHOLDER_LIST",ChatGPT / Claude,Intermediate,A power/interest stakeholder grid with a tailored engagement action for each person or group.,Update this map whenever a stakeholder's role or interest shifts — engagement plans decay quickly otherwise.
PRM-PM-001,Project Management,Risk Management,Project Risk Analysis,Project Risk Assessment & Prioritization,"Act as a senior project risk manager. Review the following project information: name [PROJECT_NAME], description [PROJECT_DESCRIPTION], current status [CURRENT_STATUS], and known risks so far [KNOWN_RISKS].
Identify additional risks across scope, schedule, budget, resourcing, and external dependencies that haven't been listed yet.
For every risk (listed and newly identified), assign probability (1-5), impact (1-5), a mitigation action, and a suggested owner role.
Output as a prioritized risk register table, sorted by probability x impact, highest first.","PROJECT_NAME, PROJECT_DESCRIPTION, CURRENT_STATUS, KNOWN_RISKS",ChatGPT / Claude,Advanced,"A prioritized risk register with probability, impact, mitigation, and owner for each risk.",Paste the latest project status report along with the prompt for better results.
PRM-PM-002,Project Management,Testing & QA,User Acceptance Test Plan,UAT Test Plan Generator,"Act as a QA lead. Build a User Acceptance Test (UAT) plan for [FEATURE_OR_SYSTEM_NAME], based on these requirements: [REQUIREMENTS_SUMMARY].
For each requirement, write at least one test case with: test ID, scenario description, preconditions, steps, expected result, and pass/fail criteria.
Include edge cases and negative test scenarios, not just the happy path.
Output as a structured test case table grouped by requirement.","FEATURE_OR_SYSTEM_NAME, REQUIREMENTS_SUMMARY",ChatGPT / Claude,Advanced,"A structured UAT test case table with happy-path, edge-case, and negative scenarios per requirement.",Have actual business users review the generated cases — UAT plans work best when written with real end-user language.
PRM-PM-003,Project Management,Requirements,Requirements Elicitation & Documentation,Business Requirements Extractor,"Act as a business analyst. Convert the following raw stakeholder notes into structured business requirements: [RAW_NOTES_OR_TRANSCRIPT].
For each requirement, classify it as Functional or Non-Functional, assign a priority (Must/Should/Could/Won't — MoSCoW), and flag any that are ambiguous or conflicting and need clarification.
Output as a numbered requirements list with classification, priority, and a ""clarification needed"" flag where applicable.",RAW_NOTES_OR_TRANSCRIPT,ChatGPT / Claude,Advanced,"A classified, prioritized requirements list (MoSCoW) with ambiguities explicitly flagged.",Feed it raw meeting transcripts directly — it's especially strong at extracting structure from messy notes.
PRM-PM-004,Project Management,Initiation,Project Charter Drafting,Project Charter Builder,"Act as a PMO lead. Draft a project charter for [PROJECT_NAME] with the following inputs: business need [BUSINESS_NEED], sponsor [SPONSOR_NAME], high-level scope [HIGH_LEVEL_SCOPE], and target timeline [TARGET_TIMELINE].
Include: Purpose, Objectives (measurable), Scope (in/out of scope), Success Criteria, High-Level Risks, Key Stakeholders, and Approval section.
Keep it to one page equivalent — concise, not padded.","PROJECT_NAME, BUSINESS_NEED, SPONSOR_NAME, HIGH_LEVEL_SCOPE, TARGET_TIMELINE",ChatGPT / Claude,Intermediate,"A concise, one-page-equivalent project charter with clear scope boundaries and success criteria.",Explicitly listing what's OUT of scope is often more valuable than what's in — push the model to be specific there.
PRM-PM-005,Project Management,Roles & Responsibilities,RACI Matrix Creation,RACI Matrix Builder,"Act as a project management consultant. Build a RACI matrix for [PROJECT_OR_PROCESS_NAME] involving these roles: [ROLE_LIST] and these key activities: [ACTIVITY_LIST].
For each activity, assign Responsible, Accountable, Consulted, and Informed to the appropriate roles — ensure exactly one Accountable per activity.
Flag any activity where responsibility looks unclear or overlapping based on the inputs given.","PROJECT_OR_PROCESS_NAME, ROLE_LIST, ACTIVITY_LIST",ChatGPT / Claude,Intermediate,"A complete RACI matrix table with exactly one Accountable role per activity, and flagged ambiguities.","If two roles seem Accountable for the same task, that's a real organizational gap worth resolving, not a modeling error."
PRM-PM-006,Project Management,Agile,Sprint Retrospective Facilitation,Sprint Retrospective Synthesizer,"Act as an agile coach. Synthesize this raw sprint retrospective input from the team: [RAW_RETRO_NOTES] for [SPRINT_NAME_OR_NUMBER].
Group the feedback into What Went Well, What Didn't Go Well, and Ideas to Try, removing duplicates and merging similar points.
Propose 3 concrete, assignable action items for next sprint, each with a suggested owner role and a way to measure if it worked.","RAW_RETRO_NOTES, SPRINT_NAME_OR_NUMBER",ChatGPT / Claude,Intermediate,"A grouped, deduplicated retro summary plus 3 concrete, measurable action items for the next sprint.",Paste raw sticky-note exports or chat messages directly — no need to clean them up first.
PRM-PM-007,Project Management,Reporting,Executive Status Report,Weekly Project Status Report Writer,"Act as a project manager reporting to executives. Write a weekly status report for [PROJECT_NAME] using this raw update: [RAW_UPDATE_NOTES].
Structure as: Overall Status (Green/Yellow/Red with one-sentence reason), Key Accomplishments This Week, Upcoming Milestones, Risks/Blockers Needing Executive Attention, and Ask (if any).
Keep it under 200 words — executives skim, they don't read.","PROJECT_NAME, RAW_UPDATE_NOTES",ChatGPT / Claude,Beginner,A concise (<200 word) executive status report with a clear RAG status and explicit ask.,Never let the model default to Green without justification — explicitly ask it to challenge an overly optimistic status.
PRM-PM-008,Project Management,Change Control,Scope Change Request Documentation,Scope Change Request Writer,"Act as a project manager preparing a formal change request. Document a scope change for [PROJECT_NAME]: the requested change is [CHANGE_DESCRIPTION], requested by [REQUESTOR], with reason [REASON_FOR_CHANGE].
Analyze impact on schedule, budget, and resources based on: [CURRENT_PROJECT_PARAMETERS].
Output a formal change request with: Description, Justification, Impact Analysis (Schedule/Budget/Resources/Risk), Recommendation (approve/reject/defer), and Approval section.","PROJECT_NAME, CHANGE_DESCRIPTION, REQUESTOR, REASON_FOR_CHANGE, CURRENT_PROJECT_PARAMETERS",ChatGPT / Claude,Advanced,"A formal, impact-analyzed change request document with a clear approve/reject/defer recommendation.","Always request quantified impact (days, dollars) rather than vague terms like 'moderate impact.'"
PRM-PM-009,Project Management,Resource Management,Team Capacity & Resource Allocation,Resource Allocation Planner,"Act as a resource manager. Given the team [TEAM_MEMBERS_WITH_SKILLS] and upcoming workstreams [WORKSTREAM_LIST_WITH_EFFORT_ESTIMATES], build a resource allocation plan for [TIME_PERIOD].
Flag any team member who is over-allocated (>100% capacity) or under-utilized, and any workstream that is understaffed relative to its estimate.
Output an allocation table by person and workstream, plus a short list of flagged conflicts with suggested resolutions.","TEAM_MEMBERS_WITH_SKILLS, WORKSTREAM_LIST_WITH_EFFORT_ESTIMATES, TIME_PERIOD",ChatGPT / Claude,Advanced,A resource allocation table with over/under-allocation flags and suggested conflict resolutions.,"Include skill tags per person, not just names — it lets the model catch skill-mismatch conflicts too."
PRM-PM-010,Project Management,Initiation,Kickoff Meeting Agenda,Project Kickoff Meeting Agenda Builder,"Act as a project manager. Build a kickoff meeting agenda for [PROJECT_NAME], attended by [ATTENDEE_ROLES], with the goal of [KICKOFF_GOAL].
Include time-boxed agenda items covering: project purpose and success criteria, scope boundaries, roles/RACI overview, timeline and milestones, communication cadence, and open Q&A.
Output as a time-boxed agenda (with suggested minutes per item) totaling no more than 60 minutes.","PROJECT_NAME, ATTENDEE_ROLES, KICKOFF_GOAL",ChatGPT / Claude,Beginner,"A time-boxed, 60-minute kickoff agenda covering purpose, scope, roles, timeline, and cadence.",Send the agenda 24 hours ahead with the scope section pre-filled — it cuts kickoff meeting time significantly.
PRM-PM-011,Project Management,Tracking,Milestone Tracker Setup,Milestone Tracker & Health Check,"Act as a project controller. Given this milestone list with dates and status: [MILESTONE_LIST], build a milestone tracker view.
For each milestone, calculate whether it's On Track, At Risk, or Late based on the current date [CURRENT_DATE] and dependencies noted: [DEPENDENCY_NOTES].
Output a table with columns: Milestone, Due Date, Status, Days Ahead/Behind, and a one-line reason for any At Risk or Late status.","MILESTONE_LIST, CURRENT_DATE, DEPENDENCY_NOTES",ChatGPT / Claude,Intermediate,A milestone health-check table with computed status and a plain-language reason for each flagged item.,"Update this weekly with the same prompt template to spot trend shifts, not just single-point status."
PRM-PM-012,Project Management,Retrospective,Project Post-Mortem Analysis,Post-Mortem / Lessons Learned Report,"Act as a project management advisor conducting a post-mortem. Analyze this completed project: [PROJECT_NAME], outcome summary [OUTCOME_SUMMARY], and team input [TEAM_FEEDBACK_NOTES].
Identify root causes (not just symptoms) for what went wrong, using the ""5 Whys"" approach for the top 2 issues.
Output: What Went Well, What Went Wrong (with root causes), and 3 specific process changes for future projects — each phrased as an actionable rule, not a vague lesson.","PROJECT_NAME, OUTCOME_SUMMARY, TEAM_FEEDBACK_NOTES",ChatGPT / Claude,Advanced,A root-cause post-mortem report with 3 actionable process rules for future projects.,Push back if the model's process changes are vague ('communicate better') — ask it to restate as a specific rule or checklist item.
PRM-PM-013,Project Management,Vendor Management,Statement of Work Review,Vendor SOW Risk Review,"Act as a vendor management specialist. Review this draft Statement of Work (SOW) for gaps or risk: [SOW_TEXT_OR_SUMMARY], for the engagement with [VENDOR_NAME].
Check specifically for: unclear deliverable definitions, missing acceptance criteria, vague timelines, missing penalty/SLA clauses, and scope creep risk.
Output a findings list (Issue, Why It's a Risk, Suggested Fix), ordered by severity.","SOW_TEXT_OR_SUMMARY, VENDOR_NAME",ChatGPT / Claude,Advanced,A severity-ordered findings list of SOW gaps with suggested contract-language fixes.,This supports contract review but doesn't replace legal review — flag high-risk findings to legal before signing.
PRM-PM-014,Project Management,Planning,Dependency Mapping,Cross-Team Dependency Mapper,"Act as a program manager. Given this list of workstreams and their inputs/outputs: [WORKSTREAM_LIST_WITH_INPUTS_OUTPUTS], map the dependencies between them for [PROGRAM_NAME].
Identify the critical path (the chain of dependencies that most constrains the end date) and any circular dependencies that need resolving.
Output: a dependency table (Workstream, Depends On, Feeds Into) plus a one-paragraph critical path summary.","WORKSTREAM_LIST_WITH_INPUTS_OUTPUTS, PROGRAM_NAME",ChatGPT / Claude,Advanced,A cross-team dependency table plus a plain-language critical path summary and any circular dependency flags.,Ask a technical lead to sanity-check the critical path call before using it to set the program end date.
PRM-PM-015,Project Management,Finance,Budget Variance Analysis,Project Budget Variance Report,"Act as a project financial controller. Analyze budget variance for [PROJECT_NAME]: budgeted amount [BUDGETED_AMOUNT], actual spend to date [ACTUAL_SPEND], and remaining planned work [REMAINING_WORK_SUMMARY].
Calculate variance (amount and %), classify it as favorable/unfavorable, and identify the most likely driver(s) of variance based on the inputs.
Output: variance calculation, driver analysis, and a forecast of final spend (Estimate at Completion) with the assumptions stated.","PROJECT_NAME, BUDGETED_AMOUNT, ACTUAL_SPEND, REMAINING_WORK_SUMMARY",ChatGPT / Claude,Advanced,"A budget variance calculation, likely driver analysis, and an Estimate at Completion with stated assumptions.",Give it monthly spend data if available — trend data produces a far more reliable EAC than a single snapshot.
PRM-PM-016,Project Management,Communication,Stakeholder Communication Plan,Project Communication Plan Builder,"Act as a project manager. Build a stakeholder communication plan for [PROJECT_NAME] with stakeholders [STAKEHOLDER_LIST_WITH_INTEREST_LEVEL].
For each stakeholder or group, define: what they need to know, frequency, channel (email/meeting/dashboard), and who is responsible for sending it.
Output as a communication plan table, tailored so high-interest stakeholders get more frequent, higher-detail updates than low-interest ones.","PROJECT_NAME, STAKEHOLDER_LIST_WITH_INTEREST_LEVEL",ChatGPT / Claude,Intermediate,A tailored stakeholder communication plan table matching frequency and detail to stakeholder interest level.,Review this plan whenever a new stakeholder joins mid-project — it's easy to forget to add them.
PRM-PM-017,Project Management,Meetings,Meeting Minutes Summarizer,Meeting Notes to Action Items Converter,"Act as an executive assistant. Convert this raw meeting transcript or notes into structured minutes: [RAW_MEETING_NOTES] for the meeting [MEETING_NAME_AND_DATE].
Extract: Key Decisions Made, Action Items (each with owner and due date if mentioned, or ""TBD"" if not), and Open Questions still unresolved.
Keep the summary factual — do not add opinions or infer decisions that weren't explicitly made.","RAW_MEETING_NOTES, MEETING_NAME_AND_DATE",ChatGPT / Claude,Beginner,"Structured meeting minutes with decisions, owned action items, and explicitly flagged open questions.","If owners or dates are missing in the raw notes, let the model mark them TBD rather than guessing — verify manually after."
PRM-PM-018,Project Management,Closure,Project Closure Report,Project Closure & Handover Report,"Act as a project manager closing out a project. Write a closure report for [PROJECT_NAME], covering final outcomes vs. original objectives: [OBJECTIVES_VS_OUTCOMES], and open items at close: [OPEN_ITEMS].
Include: Summary of Delivery, Objectives Met/Partially Met/Not Met (with reason for any gaps), Outstanding Items & Owners for Handover, and Recommendation for Follow-Up Work if any.
Keep tone factual and suitable for archiving as a formal record.","PROJECT_NAME, OBJECTIVES_VS_OUTCOMES, OPEN_ITEMS",ChatGPT / Claude,Intermediate,"A formal, archive-ready project closure report with objective-by-objective outcomes and a handover list.",Route open items to named owners with dates before formally closing — a closure report shouldn't have orphaned tasks.
